zip,city,state,latitude,longitude,population
62002,Alton,IL,38.94,-90.12,32704
07103,Newark,NJ,40.74,-74.19,32698
77004,Houston,TX,29.72,-95.38,32692
48640,Midland,MI,43.6,-84.4,32690
28792,Hendersonville,NC,35.3,-82.5,32689
11433,Jamaica,NY,40.7,-73.79,32687
33594,Valrico,FL,27.94,-82.24,32677
85712,Tucson,AZ,32.24,-110.9,32666
73110,Oklahoma City,OK,35.46,-97.4,32666
24112,Martinsville,VA,36.7,-79.9,32646
71291,West Monroe,LA,32.6,-92.2,32644
29650,Greer,SC,34.9,-82.27,32632
35630,Florence,AL,34.83,-87.67,32629
77096,Houston,TX,29.67,-95.48,32628
00682,Mayaguez,PR,18.2,-67.5,32615
92679,Trabuco Canyon,CA,33.6,-117.5,32611
02816,Coventry,RI,41.69,-71.63,32611
00687,Morovis,PR,18.32,-66.42,32610
91355,Valencia,CA,34.42,-118.61,32605
39180,Vicksburg,MS,32.2,-90.9,32603
33410,Palm Beach Gardens,FL,26.84,-80.09,32570
77017,Houston,TX,29.68,-95.26,32561
93555,Ridgecrest,CA,35.6,-117.7,32560
22901,Charlottesville,VA,38.1,-78.6,32532
78570,Mercedes,TX,26.2,-97.9,32525
33174,Miami,FL,25.76,-80.36,32524
55369,Osseo,MN,45.13,-93.46,32524
10309,Staten Island,NY,40.54,-74.22,32519
20016,Washington,DC,38.94,-77.09,32519
77351,Livingston,TX,30.7,-94.8,32517
72204,Little Rock,AR,34.71,-92.36,32505
70808,Baton Rouge,LA,30.43,-91.16,32504
37110,Mcminnville,TN,35.7,-85.7,32495
29841,North Augusta,SC,33.52,-81.94,32494
98056,Renton,WA,47.51,-122.19,32489
32547,Fort Walton Beach,FL,30.5,-86.7,32485
17522,Ephrata,PA,40.17,-76.17,32483
92649,Huntington Beach,CA,33.72,-118.05,32463
55443,Minneapolis,MN,45.12,-93.33,32462
07410,Fair Lawn,NJ,40.94,-74.12,32457
56301,Saint Cloud,MN,45.5,-94.2,32434
00961,Bayamon,PR,18.34,-66.17,32429
91325,Northridge,CA,34.23,-118.52,32417
91791,West Covina,CA,34.06,-117.89,32414
18018,Bethlehem,PA,40.63,-75.39,32413
19002,Ambler,PA,40.18,-75.22,32412
46260,Indianapolis,IN,39.9,-86.18,32406
55024,Farmington,MN,44.6,-93.1,32406
90606,Whittier,CA,33.98,-118.07,32396
35244,Birmingham,AL,33.36,-86.82,32390
70601,Lake Charles,LA,30.24,-93.23,32384
65401,Rolla,MO,37.9,-91.8,32383
20165,Sterling,VA,39.05,-77.39,32383
72209,Little Rock,AR,34.67,-92.36,32376
53142,Kenosha,WI,42.54,-87.93,32375
40509,Lexington,KY,37.99,-84.37,32364
91351,Canyon Country,CA,34.43,-118.46,32362
48021,Eastpointe,MI,42.47,-82.94,32353
44805,Ashland,OH,40.9,-82.3,32345
39120,Natchez,MS,31.5,-91.4,32334
90008,Los Angeles,CA,34.01,-118.35,32327
22306,Alexandria,VA,38.76,-77.09,32326
21212,Baltimore,MD,39.37,-76.62,32322
11793,Wantagh,NY,40.64,-73.51,32298
79416,Lubbock,TX,33.61,-101.97,32296
84606,Provo,UT,40.24,-111.65,32291
15401,Uniontown,PA,39.89,-79.74,32288
29550,Hartsville,SC,34.4,-80.1,32284
23229,Henrico,VA,37.59,-77.57,32283
48642,Midland,MI,43.7,-84.2,32277
79423,Lubbock,TX,33.4,-101.9,32277
19138,Philadelphia,PA,40.06,-75.16,32273
10065,New York,NY,40.765,-73.965,32270
53216,Milwaukee,WI,43.09,-87.98,32264
08648,Lawrence Township,NJ,40.28,-74.72,32263
48209,Detroit,MI,42.3,-83.11,32262
97404,Eugene,OR,44.11,-123.13,32255
37363,Ooltewah,TN,35.1,-85.0,32244
52240,Iowa City,IA,41.6,-91.5,32230
60098,Woodstock,IL,42.3,-88.4,32228
43560,Sylvania,OH,41.69,-83.73,32226
56601,Bemidji,MN,47.5,-94.8,32225
19087,Wayne,PA,40.06,-75.4,32225
30311,Atlanta,GA,33.73,-84.47,32218
71730,El Dorado,AR,33.2,-92.6,32213
32810,Orlando,FL,28.62,-81.43,32210
63125,Saint Louis,MO,38.52,-90.3,32201
60102,Algonquin,IL,42.16,-88.31,32193
29579,Myrtle Beach,SC,33.8,-78.9,32180
24540,Danville,VA,36.6,-79.4,32170
78217,San Antonio,TX,29.55,-98.43,32165
02368,Randolph,MA,42.17,-71.06,32158
33060,Pompano Beach,FL,26.23,-80.12,32154
34667,Hudson,FL,28.38,-82.65,32144
80231,Denver,CO,39.67,-104.89,32127
55406,Minneapolis,MN,44.94,-93.22,32112
27514,Chapel Hill,NC,35.97,-79.04,32110
60302,Oak Park,IL,41.89,-87.79,32108
33435,Boynton Beach,FL,26.52,-80.06,32104
90504,Torrance,CA,33.87,-118.33,32102
11735,Farmingdale,NY,40.73,-73.43,32098
66212,Overland Park,KS,38.96,-94.68,32096
98404,Tacoma,WA,47.21,-122.41,32086
32114,Daytona Beach,FL,29.19,-81.05,32084
21216,Baltimore,MD,39.31,-76.67,32071
06489,Southington,CT,41.6,-72.88,32067
48917,Lansing,MI,42.73,-84.63,32062
22079,Lorton,VA,38.68,-77.21,32059
49686,Traverse City,MI,44.9,-85.5,32056
60517,Woodridge,IL,41.73,-88.04,32038
90803,Long Beach,CA,33.76,-118.15,32031
27511,Cary,NC,35.76,-78.78,32029
02472,Watertown,MA,42.37,-71.18,32014
32503,Pensacola,FL,30.46,-87.21,32011
32940,Melbourne,FL,28.2,-80.8,31999
33613,Tampa,FL,28.09,-82.45,31990
53151,New Berlin,WI,42.97,-88.1,31987
28079,Indian Trail,NC,35.1,-80.6,31979
48089,Warren,MI,42.47,-83.0,31978
06770,Naugatuck,CT,41.49,-73.05,31975
98513,Olympia,WA,47.0,-122.7,31975
90601,Whittier,CA,34.01,-118.03,31974
23860,Hopewell,VA,37.3,-77.2,31970
15001,Aliquippa,PA,40.6,-80.3,31964
28411,Wilmington,NC,34.3,-77.79,31962
10014,New York,NY,40.74,-74.01,31959
95973,Chico,CA,39.9,-121.8,31957
